etat;score;fiche;type;producteur;millesime;tarif retenu;prix;autre candidat;prix autre
sur;1.00;GOOD MOOD ROSÉ;rose;Cellier du Pic.;2025;Le Cellier du Pic - Good Mood Rose IGP Pays d'Oc 2025;9.00;;
sur;1.00;GRAND FIDÈLE ORIGINE;rose;Domaine Grand Fidèle.;;"Domaine De Grand Fidéle - Rose - Languedoc ""Origine"" 75Cl";9.50;;
sur;1.00;Galabert Rosé;rose;Le Cellier du Pic / Les Vignerons du Pic.;2024;Le Cellier du Pic - Galabert Rose Psl 2024;13.00;;
aucun;0.00;LA CORDÉE / GALABERT ROSÉ;rose;Deux références présentes sur les deux photos isolées.;;;;;
sur;1.00;LE SOUVIGNIER GRIS;rose;Éxéa.;;Atelier D'Exea - Le Souvignier Gris 2025 75 Cl;12.00;;
aucun;0.00;LE SOUVIGNIER GRIS 2025;rose;Famille d'Exéa / Domaines d'Exéa.;2025;;;Atelier D'Exea - Le Souvignier Gris 2025 75 Cl;12.00
sur;1.00;Le Petit G Rosé;rose;Vignobles Gueissard.;2025;"Domaine Gueissard - Rose - IGP Méditerranée ""Le Petit G""  75Cl";9.00;;
aucun;0.00;Minuty Prestige Rosé;rose;Château Minuty.;2023;;;"Domaine Gueissard - Rose - Cotes De Provence ""Cuvée G"" 75Cl";16.00
sur;1.00;N°9 GRENACHE GRIS;rose;Éxéa.;;Atelier D'Exea - N°9 Grenache Gris 2025 Bd 75 Cl;12.00;Atelier D'Exea - Le Souvignier Gris 2025 75 Cl;12.00
doute;0.51;Prestige Rosé — Côtes de Provence;rose;Identification impossible : seule la contre-étiquette est visible.;;"Domaine Gueissard - Rose - Cotes De Provence ""Les Papilles"" 75Cl";15.00;"Domaine Gueissard - Rose - Cotes De Provence ""Cuvée G"" 75Cl";16.00
doute;0.91;Rose di Bacco Lambrusco dell’Emilia Rosso;rose;Amabile.;;"Chiarli - Rouge - "" Rose Di Bacco Lambrusco Amabile"" Lambrusco Dell'Emilia 75 Cl";9.90;Chiarli Rose Di Bacco Lambrusco Amabile IGT Lambrusco Dell'Emilia - Rouge - Italie;9.90
aucun;0.00;Veneto d’Estate Rosé Trevenezie IGT 2024;rose;Casa Vinicola Corvezzo.;;;;"Corvezzo -Rose - ""Vento D'Estate Rosato"" Venezia 75 Cl";13.50
doute;0.58;Zéro by Les Fumées Blanches Rosé;rose;Domaines François Lurton.;;"Domaine Les Fumées Blanches - Rose Zero - IGP Côtes De Gascogne ""Zero Rosé"" 75 Cl";14.00;Le Cellier du Pic - Z De Zero;12.00
sur;0.94;ALOXE-CORTON « LES BRUNETTES ET PLANCHOTS » 2023;rouge;Domaine du Château Philippe le Hardi.;2023;Aloxe-Corton Les Brunettes Et Planchots 2023;63.00;;
sur;1.00;APLA Rouge 2023;rouge;Oenops Wines.;;Oenops Wines - Apla Rouge 2023;22.00;;
sur;0.93;BEAUNE 1ER CRU « CLOS DU ROI » 2022;rouge;Domaine du Château Philippe le Hardi.;2022;Beaune 1Er Cru Clos Du Roi 2022;62.00;;
sur;0.85;BOURGOGNE PINOT NOIR VIEILLES VIGNES 2023;rouge;Domaine du Château Philippe le Hardi.;2023;Bourgogne Pinot Noir Vieilles Vignes;23.00;Bourgogne Chardonnay Vieilles Vignes Tc 2023;23.00
sur;1.00;Beaujolais-Villages « Terre de Loyse »;rouge;Laurent Perrachon & Fils.;2025;Domaine Perrachon & Fils - Blanc - Beaujolais Villages Rouge 750 Ml 2025 Terre De Loyse;11.00;;
aucun;0.00;Beaujolais-Villages « Terre de Loyse »;rouge;Laurent Perrachon & Fils.;;;;Domaine Perrachon & Fils - Blanc - Beaujolais Villages Rouge 750 Ml 2025 Terre De Loyse;11.00
